h;p;x;s;d;T
0;0;0;0;0;-2
1;0;0;0;0;-1
2;0;0;0;0;2
0;1;0;0;0;-2
1;1;0;0;0;-1
2;1;0;0;0;2
0;2;0;0;0;-2
1;2;0;0;0;-1
2;2;0;0;0;2
0;0;1;0;0;0
1;0;1;0;0;0
2;0;1;0;0;2
0;1;1;0;0;0
1;1;1;0;0;0
2;1;1;0;0;2
0;2;1;0;0;0
1;2;1;0;0;0
2;2;1;0;0;2
0;0;2;0;0;6
1;0;2;0;0;5
2;0;2;0;0;6
0;1;2;0;0;6
1;1;2;0;0;5
2;1;2;0;0;6
0;2;2;0;0;6
1;2;2;0;0;5
2;2;2;0;0;6
0;0;0;1;0;1
1;0;0;1;0;2
2;0;0;1;0;5
0;1;0;1;0;1
1;1;0;1;0;2
2;1;0;1;0;5
0;2;0;1;0;1
1;2;0;1;0;2
2;2;0;1;0;5
0;0;1;1;0;3
1;0;1;1;0;3
2;0;1;1;0;5
0;1;1;1;0;3
1;1;1;1;0;3
2;1;1;1;0;5
0;2;1;1;0;3
1;2;1;1;0;3
2;2;1;1;0;5
0;0;2;1;0;9
1;0;2;1;0;8
2;0;2;1;0;9
0;1;2;1;0;9
1;1;2;1;0;8
2;1;2;1;0;9
0;2;2;1;0;9
1;2;2;1;0;8
2;2;2;1;0;9
0;0;0;2;0;4
1;0;0;2;0;5
2;0;0;2;0;8
0;1;0;2;0;4
1;1;0;2;0;5
2;1;0;2;0;8
0;2;0;2;0;4
1;2;0;2;0;5
2;2;0;2;0;8
0;0;1;2;0;6
1;0;1;2;0;6
2;0;1;2;0;8
0;1;1;2;0;6
1;1;1;2;0;6
2;1;1;2;0;8
0;2;1;2;0;6
1;2;1;2;0;6
2;2;1;2;0;8
0;0;2;2;0;12
1;0;2;2;0;11
2;0;2;2;0;12
0;1;2;2;0;12
1;1;2;2;0;11
2;1;2;2;0;12
0;2;2;2;0;12
1;2;2;2;0;11
2;2;2;2;0;12
0;0;0;0;1;6
1;0;0;0;1;7
2;0;0;0;1;10
0;1;0;0;1;6
1;1;0;0;1;7
2;1;0;0;1;10
0;2;0;0;1;6
1;2;0;0;1;7
2;2;0;0;1;10
0;0;1;0;1;8
1;0;1;0;1;8
2;0;1;0;1;10
0;1;1;0;1;8
1;1;1;0;1;8
2;1;1;0;1;10
0;2;1;0;1;8
1;2;1;0;1;8
2;2;1;0;1;10
0;0;2;0;1;14
1;0;2;0;1;13
2;0;2;0;1;14
0;1;2;0;1;14
1;1;2;0;1;13
2;1;2;0;1;14
0;2;2;0;1;14
1;2;2;0;1;13
2;2;2;0;1;14
0;0;0;1;1;9
1;0;0;1;1;10
2;0;0;1;1;13
0;1;0;1;1;9
1;1;0;1;1;10
2;1;0;1;1;13
0;2;0;1;1;9
1;2;0;1;1;10
2;2;0;1;1;13
0;0;1;1;1;11
1;0;1;1;1;11
2;0;1;1;1;13
0;1;1;1;1;11
1;1;1;1;1;11
2;1;1;1;1;13
0;2;1;1;1;11
1;2;1;1;1;11
2;2;1;1;1;13
0;0;2;1;1;17
1;0;2;1;1;16
2;0;2;1;1;17
0;1;2;1;1;17
1;1;2;1;1;16
2;1;2;1;1;17
0;2;2;1;1;17
1;2;2;1;1;16
2;2;2;1;1;17
0;0;0;2;1;12
1;0;0;2;1;13
2;0;0;2;1;16
0;1;0;2;1;12
1;1;0;2;1;13
2;1;0;2;1;16
0;2;0;2;1;12
1;2;0;2;1;13
2;2;0;2;1;16
0;0;1;2;1;14
1;0;1;2;1;14
2;0;1;2;1;16
0;1;1;2;1;14
1;1;1;2;1;14
2;1;1;2;1;16
0;2;1;2;1;14
1;2;1;2;1;14
2;2;1;2;1;16
0;0;2;2;1;20
1;0;2;2;1;19
2;0;2;2;1;20
0;1;2;2;1;20
1;1;2;2;1;19
2;1;2;2;1;20
0;2;2;2;1;20
1;2;2;2;1;19
2;2;2;2;1;20
0;0;0;0;2;20
1;0;0;0;2;21
2;0;0;0;2;24
0;1;0;0;2;20
1;1;0;0;2;21
2;1;0;0;2;24
0;2;0;0;2;20
1;2;0;0;2;21
2;2;0;0;2;24
0;0;1;0;2;22
1;0;1;0;2;22
2;0;1;0;2;24
0;1;1;0;2;22
1;1;1;0;2;22
2;1;1;0;2;24
0;2;1;0;2;22
1;2;1;0;2;22
2;2;1;0;2;24
0;0;2;0;2;28
1;0;2;0;2;27
2;0;2;0;2;28
0;1;2;0;2;28
1;1;2;0;2;27
2;1;2;0;2;28
0;2;2;0;2;28
1;2;2;0;2;27
2;2;2;0;2;28
0;0;0;1;2;23
1;0;0;1;2;24
2;0;0;1;2;27
0;1;0;1;2;23
1;1;0;1;2;24
2;1;0;1;2;27
0;2;0;1;2;23
1;2;0;1;2;24
2;2;0;1;2;27
0;0;1;1;2;25
1;0;1;1;2;25
2;0;1;1;2;27
0;1;1;1;2;25
1;1;1;1;2;25
2;1;1;1;2;27
0;2;1;1;2;25
1;2;1;1;2;25
2;2;1;1;2;27
0;0;2;1;2;31
1;0;2;1;2;30
2;0;2;1;2;31
0;1;2;1;2;31
1;1;2;1;2;30
2;1;2;1;2;31
0;2;2;1;2;31
1;2;2;1;2;30
2;2;2;1;2;31
0;0;0;2;2;26
1;0;0;2;2;27
2;0;0;2;2;30
0;1;0;2;2;26
1;1;0;2;2;27
2;1;0;2;2;30
0;2;0;2;2;26
1;2;0;2;2;27
2;2;0;2;2;30
0;0;1;2;2;28
1;0;1;2;2;28
2;0;1;2;2;30
0;1;1;2;2;28
1;1;1;2;2;28
2;1;1;2;2;30
0;2;1;2;2;28
1;2;1;2;2;28
2;2;1;2;2;30
0;0;2;2;2;34
1;0;2;2;2;33
2;0;2;2;2;34
0;1;2;2;2;34
1;1;2;2;2;33
2;1;2;2;2;34
0;2;2;2;2;34
1;2;2;2;2;33
2;2;2;2;2;34
